Number of Drones,num_tested,success_percentage,mean_solve_time,median_solve_time,IQR_solve_time,95% Confidence Interval
1,15,100.0,0.036064275105794234,0.0256469249725341,0.009067773818969754,"[0.0233, 0.0488]"
2,15,86.66666666666667,0.0419201667492206,0.035783052444458,0.0254583358764648,"[0.029, 0.0548]"
3,15,86.66666666666667,0.07214170235853924,0.0347938537597656,0.0509426593780518,"[0.0269, 0.117]"
4,15,86.66666666666667,0.16106502826397232,0.0648953914642334,0.0913550853729248,"[0.00754, 0.315]"
5,15,80.0,0.09462056557337438,0.0722836256027221,0.05869179964065553,"[0.0491, 0.14]"
