Number of Drones,num_tested,success_percentage,mean_solve_time,median_solve_time,IQR_solve_time,95% Confidence Interval
1,15,100.0,0.03212927182515459,0.0205850601196289,0.019304394721984898,"[0.0197, 0.0446]"
2,15,100.0,0.3968116760253906,0.0395619869232177,0.0685175657272339,"[-0.235, 1.03]"
3,15,86.66666666666667,0.08254871001610385,0.0428962707519531,0.0208890438079834,"[0.0064, 0.159]"
4,15,86.66666666666667,0.07978158730726974,0.0437629222869873,0.0825481414794922,"[0.0339, 0.126]"
5,15,80.0,0.08584145704905188,0.049893975257873494,0.04058784246444708,"[0.0312, 0.14]"
