Number of Drones,num_tested,success_percentage,mean_solve_time,median_solve_time,IQR_solve_time,95% Confidence Interval
1,15,100.0,0.026311222712198826,0.018284797668457,0.015205621719360352,"[0.0171, 0.0355]"
2,15,100.0,0.20173546473185217,0.0424749851226806,0.1345983743667603,"[0.0163, 0.387]"
3,15,93.33333333333333,0.4423374448503767,0.04838442802429195,0.05721765756607056,"[-0.179, 1.06]"
4,15,86.66666666666667,0.11242479544419504,0.0544068813323974,0.0375082492828369,"[0.0307, 0.194]"
5,15,86.66666666666667,0.4169304921076848,0.0498938560485839,0.05967617034912111,"[-0.199, 1.03]"
