Difficulty,num_tested,success_percentage,mean_solve_time,median_solve_time,IQR_solve_time,95% Confidence Interval
easy,25,100.0,0.030559711456298783,0.0299620628356933,0.0161685943603515,"[0.0264, 0.0348]"
hard,25,72.0,0.42144597901238334,0.08651852607727051,0.13199532032012934,"[-0.103, 0.946]"
medium,25,100.0,0.048979406356811486,0.0406467914581298,0.025872945785522496,"[0.0361, 0.0618]"
