Number of Drones,num_tested,success_percentage,mean_solve_time,median_solve_time,IQR_solve_time,95% Confidence Interval
1,15,100.0,0.03519066174825028,0.0250897407531738,0.023757457733154297,"[0.0237, 0.0466]"
2,15,100.0,0.11927235921223955,0.0482971668243408,0.062247276306152295,"[0.014, 0.225]"
3,15,93.33333333333333,0.5895037991659982,0.046189904212951605,0.1862936615943909,"[-0.261, 1.44]"
4,15,86.66666666666667,0.2727709733522855,0.0387859344482421,0.04993891716003421,"[-0.135, 0.68]"
5,15,80.0,0.1452317635218302,0.0549345016479492,0.07779675722122192,"[0.0119, 0.279]"
